trade_date,regime,ret_20d,vol_20d,drawdown_5d
20250725,Bull,0.08860099880784178,0.5895096906491226,-0.01010566483516477
20250801,Bull,0.07358157726572889,0.5830587167763182,-0.004376779402803096
20250808,Range,0.04744278533548618,0.6697751147937469,-0.01609591442572208
20250815,Bull,0.050393947655687166,0.6731810522542451,-0.004214453007551056
20250822,Bull,0.058568014649414524,0.774071115509539,-0.014038079268292727
20250829,Bull,0.06164401984780876,0.7096745759912492,0.0
20250905,Bull,0.0686138553375244,0.8368069132884198,-0.022127868533171294
20250912,Range,0.03533789360366835,1.0439257903538919,-0.029742467726521966
20250919,Range,0.04012007718084076,0.9804567053127718,-0.00433408687727821
20250926,Range,0.004502686978307802,1.0069835931947557,-0.015529095399221473
20250930,Range,0.0010489785845044786,0.9096889856172031,-0.027625444502047656
20251010,Range,0.01410514103330529,0.8836250029042896,-0.00803334700173669
20251017,Range,0.04810540735818525,0.7853272953417704,-0.00803334700173669
20251024,Dark,-0.011054941071062419,0.7778898423691004,-0.02342404596317537
20251031,Range,0.020290828233540337,0.7956612101916521,-0.013682653386274798
20251107,Range,0.036347454943858715,0.7485884178491701,-0.008842001215066737
20251114,Range,0.03599440946508081,0.7643029286209816,-0.004005162720097058
20251121,Bull,0.07156791561402032,0.5870203491806268,-0.005321080557238107
20251128,Dark,-0.024695546056303752,1.0554449382931792,-0.06372546854457581
20251205,Range,-0.002217871445175712,1.1032062910412037,-0.041807185478116606
20251212,Range,-0.01814258733482199,1.1126183830751375,-0.014155751168435288
20251219,Bear,-0.04468184788145113,1.113082224845652,-0.01930939499931782
20251226,Range,0.0312133150534597,0.8316105757611851,-0.027846792225534468
20251231,Range,0.017591102444172835,0.7955180259318536,-0.005050587772397176
20260109,Range,0.013801399681329318,0.7807445985626519,-0.005389728063729184
20260116,Bull,0.05463261810055897,0.8132065096654187,0.0
20260123,Bull,0.08050876105869276,0.6795534425881546,-0.010416486024521188
20260130,Bull,0.09069664318946913,0.6397732166270426,0.0
20260206,Bull,0.06833842697945536,0.7042208131562823,-0.012832593999609948
20260213,Range,0.020133593276177697,0.9369860499483255,-0.02834092754062327
20260227,Dark,0.018495602259803734,0.9509114415254852,-0.013088148165371783
20260306,Range,0.027357892079153734,0.998385765349665,-0.013088148165371783
20260313,Range,0.009267538135394604,1.2148498175319282,-0.04268214696175713
20260320,Dark,0.012751259185631136,1.0334269482184706,-0.008291066975528207
20260327,Dark,-0.04800956527041966,1.197327329857153,-0.04785573917316148
20260403,Dark,-0.06857878824504249,1.7731220628263316,-0.08535685640028988
20260410,Dark,-0.07929728587745266,1.745512017819451,-0.03455610995778984
20260417,Dark,-0.04559462311936113,1.9196894064352188,-0.03455610995778984
20260424,Dark,0.004121442012233301,1.8627338065543253,-0.003108509969788587
20260430,Range,0.03144534185289949,1.1460713194547876,-0.009974741958544784
20260508,Range,0.026191466769072358,1.09150588740435,-0.012321383880124697
20260515,Bull,0.07625630927928806,0.8733166655829104,-0.0007256068585423589
20260522,Dark,0.019701723644397706,0.7486914762362008,-0.025374564740042634
20260529,Range,-0.005725810364493489,1.0793039369554012,-0.03525405735858235
20260605,Dark,-0.03902781479177886,1.2515513727816088,-0.043001640734342275
20260612,Bear,-0.07869713804255885,1.1859058219932905,-0.02250314689706204
20260618,Dark,-0.08491962056347702,1.3479629933497155,-0.03726792792959995
20260626,Bear,-0.03823916118785842,1.3167748570439513,-0.013204421230008024
20260702,Dark,-0.07482226697441807,1.2938612650017858,-0.048595626760266214
